TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,MinEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
44784,0,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:24:59Z
45798,1,0.238874,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,NaN,1.000000,11.000000,0.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:25:00Z
94945,0,0.297590,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238874,0.988162,2.000000,11.000000,1.000000,0.986582,1.000000,0.238874,11.000000,0.000000,1.000000,1.000000,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:25:49Z
95937,1,0.297590,0.315795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.297590,0.999120,3.000000,11.000000,1.000000,0.986582,1.000000,0.238874,11.000000,2.000000,0.986580,1.000000,0.238874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:25:50Z
145059,0,0.445063,0.315795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315795,0.971944,4.000000,11.000000,3.000000,0.986387,1.000000,0.266612,11.000000,2.000000,0.986580,1.000000,0.269235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:26:39Z
146065,1,0.445063,0.315795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315795,0.971945,3.000000,11.000000,3.000000,0.986387,1.000000,0.266612,11.000000,2.000000,0.986581,1.000000,0.273582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:26:40Z
195189,0,0.481575,0.315795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315795,0.958565,5.000000,11.000000,4.000000,0.984117,1.000000,0.308711,11.000000,2.000000,0.986581,1.000000,0.285431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:27:29Z
196225,1,0.481575,0.532722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.481575,0.997464,6.000000,11.000000,4.000000,0.984117,1.000000,0.308711,11.000000,5.000000,0.978990,1.000000,0.287507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:27:30Z
245332,0,0.482302,0.532722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.482302,0.997539,5.000000,11.000000,4.000000,0.985603,1.000000,0.340096,11.000000,5.000000,0.978990,1.000000,0.319201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:28:19Z
246357,1,0.482302,0.532939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.482302,0.997518,6.000000,11.000000,4.000000,0.985603,1.000000,0.340096,11.000000,5.000000,0.979390,1.000000,0.325938,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-06T18:28:20Z
